from,moved
https://www.azion.com/pt-br/documentacao/produtos/edge-application/digital-certificate/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/digital-certificates/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/javascript-runtime-apis/web-standards,https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime-apis/javascript/web-standards/
https://www.azion.com/pt-br/documentacao/use-cases/,https://www.azion.com/pt-br/documentacao/produtos/guias/
https://www.azion.com/pt-br/documentacao/contratos/politica-de-privacidade/28-julho-2016/,https://www.azion.com/pt-br/documentacao/contratos/politica-de-privacidade/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/firewall/,https://www.azion.com/pt-br/documentacao/produtos/secure/edge-firewall/edge-functions/firewall/
https://www.azion.com/pt-br/documentacao/produtos/guias/requestdata/,https://www.azion.com/pt-br/documentacao/produtos/guias/process-request-data-into-headers/
https://www.azion.com/pt-br/docs/produtos/peering/,https://www.azion.com/pt-br/documentacao/produtos/azion-network-program/
https://www.azion.com/pt-br/documentacao/casos-de-uso/jamstack-using-flareact/,https://www.azion.com/pt-br/documentacao/produtos/devtools/azion-edge-runtime/compatibilidade-frameworks/
https://www.azion.com/pt-br/documentacao/produtos/application-acceleration/,https://www.azion.com/pt-br/documentacao/produtos/build/edge-application/application-acceleration/
https://www.azion.com/pt-br/documentacao/produtos/gestao-de-contas/clients/,https://www.azion.com/pt-br/documentacao/produtos/gestao-de-contas/contas/
https://www.azion.com/pt-br/documentacao/produtos/gestao-de-contas/faturamento/,https://www.azion.com/pt-br/documentacao/produtos/gestao-de-contas/billing-and-subscriptions/
https://www.azion.com/pt-br/documentacao/produtos/gestao-de-contas/usuarios-e-times/,https://www.azion.com/pt-br/documentacao/produtos/gestao-de-contas/users-management/
https://www.azion.com/pt-br/documentacao/produtos/data-streaming/,https://www.azion.com/pt-br/documentacao/produtos/observe/data-streaming/
https://www.azion.com/pt-br/documentacao/produtos/edge-pulse/,https://www.azion.com/pt-br/documentacao/produtos/observe/edge-pulse/
https://www.azion.com/pt-br/documentacao/produtos/real-time-events/,https://www.azion.com/pt-br/documentacao/produtos/observe/real-time-events/
https://www.azion.com/pt-br/documentacao/produtos/real-time-metrics/,https://www.azion.com/pt-br/documentacao/produtos/observe/real-time-metrics/
https://www.azion.com/pt-br/documentacao/produtos/dev-tools/,https://www.azion.com/pt-br/documentacao/devtools/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime/visao-geral/,https://www.azion.com/pt-br/documentacao/devtools/runtime/visao-geral/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/debugging/,https://www.azion.com/pt-br/documentacao/devtools/debugging/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/javascript-examples/,https://www.azion.com/pt-br/documentacao/devtools/javascript-exemplos/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime-api/frameworks-suportados/nextjs/,https://www.azion.com/pt-br/documentacao/devtools/runtime-api/frameworks-suportados/nextjs/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime/visao-geral/,https://www.azion.com/pt-br/documentacao/devtools/runtime/visao-geral/
https://www.azion.com/pt-br/documentacao/produtos/edge-application/edge-functions/runtime-apis/javascript/,https://www.azion.com/pt-br/documentacao/devtools/runtime-apis/javascript/
https://www.azion.com/pt-br/documentacao/produtos/graphql-api/,https://www.azion.com/pt-br/documentacao/devtools/graphql-api/
https://www.azion.com/pt-br/documentacao/produtos/graphql-api-mensagens-erro/,https://www.azion.com/pt-br/documentacao/devtools/graphql-api/mensagens-erro/
